MUNICIPALITY,SCHOOL ID,SCHOOL NAME,PROGRAM OFFERINGS,STEM,ABM,HUMSS,GAS,TVL,Arts and Design,Sports,OFFERINGS COUNT,MUNICIPALITY COUNT
Makati City,407698,"Globetek Science Foundation, Inc.",STEM|ABM|HUMSS|GAS,True,True,True,True,False,False,False,4,
Manila City,406330,Lorenzo Ruiz Academy,ABM|STEM,True,True,False,False,False,False,False,2,
Manila City,406335,Tiong Se Academy,GAS|ABM,False,True,False,True,False,False,False,2,
Caloocan City,400942,ABE International Business College-Caloocan Campus,ABM|TVL,False,True,False,False,True,False,False,2,
Caloocan City,400947,AMA Computer College-Caloocan City,STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Caloocan City,400951,AMA Computer Learning Center of Caloocan City,STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Caloocan City,400952,Asian Institute of Computer Studies - Caloocan,ABM|GAS|TVL,False,True,False,True,True,False,False,3,
Caloocan City,400959,Colegio de San Gabriel Arcangel of Caloocan,ABM|GAS|TVL,False,True,False,True,True,False,False,3,
Caloocan City,400960,Datamex Institute of Computer Technology-Caloocan City,STEM|ABM|HUMSS|GAS|Arts and Design|Sports|TVL,True,True,True,True,True,True,True,7,
Caloocan City,400962,Informatics College-Caloocan,ABM|GAS|HUMSS|TVL,False,True,True,True,True,False,False,4,
Caloocan City,400967,"Lady of Lourdes Hospital and Colleges of Caybiga, Inc.",ABM|GAS|TVL,False,True,False,True,True,False,False,3,
Caloocan City,400972,Martinez Memorial Colleges,STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Caloocan City,400978,STI College - Caloocan,STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Caloocan City,405537,Access Computer and Technical College-Camarin Campus,TVL,False,False,False,False,True,False,False,1,
Caloocan City,405544,Access Computer and Technical College-Monumento Campus,TVL,False,False,False,False,True,False,False,1,
Caloocan City,405581,APEC Schools-Grace Park West,GAS|ABM,False,True,False,True,False,False,False,2,
Caloocan City,405583,"Asian Caregiving and Technology Education Centers, Inc.-Caloocan",TVL,False,False,False,False,True,False,False,1,
Caloocan City,405602,"Emmanuel John Institute of Science & Technology, Inc.",TVL,False,False,False,False,True,False,False,1,
Caloocan City,406395,Lorraine Technical School,TVL,False,False,False,False,True,False,False,1,
Caloocan City,406674,Anchor of Life Academy,ABM|HUMSS|GAS,False,True,True,True,False,False,False,3,
Caloocan City,406677,"Divine Mercy College Foundation, Inc.",ABM|GAS|TVL,False,True,False,True,True,False,False,3,
Caloocan City,406678,La Consolacion College-Caloocan City,ABM|GAS|STEM|HUMSS|TVL,True,True,True,True,True,False,False,5,
Caloocan City,406681,Notre Dame of Greater Manila,STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Caloocan City,406683,Philippine Cultural College-Caloocan Campus,GAS|ABM|STEM|HUMSS,True,True,True,True,False,False,False,4,
Caloocan City,406685,St. Mary's Academy of Caloocan City,ABM|HUMSS|GAS|STEM|Arts and Design|Sports|TVL,True,True,True,True,True,True,True,7,
Caloocan City,406686,Systems Plus Computer College-Caloocan,STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Caloocan City,406688,Baesa Adventist Academy,ABM|HUMSS|GAS|TVL,False,True,True,True,True,False,False,4,
Caloocan City,406691,"World Citi Colleges-Caloocan, Inc.",ABM|STEM|GAS|TVL,True,True,False,True,True,False,False,4,
Caloocan City,406696,Manila Central University,ABM|STEM|HUMSS|TVL,True,True,True,False,True,False,False,4,
Caloocan City,406698,St. Dominic Savio College,ABM|HUMSS|STEM,True,True,True,False,False,False,False,3,
Caloocan City,406711,Holy Redeemer School of Kalookan,ABM,False,True,False,False,False,False,False,1,
Caloocan City,406712,Maranatha Christian Academy of Caloocan,GAS|TVL,False,False,False,True,True,False,False,2,
Caloocan City,406713,"Mystical Rose School of Caloocan, Inc.",GAS|ABM|STEM|TVL,True,True,False,True,True,False,False,4,
Caloocan City,406714,"Newland Center for Education, Inc.",TVL,False,False,False,False,True,False,False,1,
Caloocan City,406715,Our Lady of Lourdes Catholic School,HUMSS,False,False,True,False,False,False,False,1,
Caloocan City,406717,St. Clare College of Caloocan,ABM|HUMSS|Sports|Arts and Design|TVL,False,True,True,False,True,True,True,5,
Caloocan City,406725,Holy Rosary College Foundation,GAS,False,False,False,True,False,False,False,1,
Caloocan City,406726,Immaculada Concepcion Colleges,ABM|HUMSS|Sports|TVL,False,True,True,False,True,False,True,4,
Caloocan City,406729,"St. Joseph College of Novaliches, Inc.",ABM|HUMSS|STEM|GAS,True,True,True,True,False,False,False,4,
