TAXONOMY,MUNICIPALITY,SCHOOL ID,SCHOOL NAME,PROGRAM OFFERINGS
United Arab Emirates,United International Private School,ABM|HUMSS|STEM,Claret School of Lamitan,STEM|ABM|GAS|TVL
ARMM|Basilan,City of Lamitan,406921,"Hardam Furigay Colleges Foundation, Inc.",ABM|GAS|TVL
ARMM|Basilan,City of Lamitan,407069,"The Mariam School of Nursing, Inc.",TVL
ARMM|Basilan,Maluso,406059,Claret School of Maluso,GAS|TVL
ARMM|Basilan,Sumisip,406060,Claret School of Tumahubong,GAS|TVL
ARMM|Lanao del Sur,Balabagan,406063,San Isidro High School of Balabagan,ABM|GAS|TVL
ARMM|Lanao del Sur,Ditsaan-Ramain,600120,Adiong Memorial Polytechnic State College,ABM|HUMSS|TVL
ARMM|Lanao del Sur,Malabang,406066,Our Lady of Peace High School,HUMSS
ARMM|Lanao del Sur,Malabang,476002,"Felix A. Panganiban (FAP) Academy of the Philippines, Inc.",ABM|GAS
ARMM|Lanao del Sur,Marawi City,406008,Jamiatul Philippine Al-Islamia,ABM|STEM|HUMSS|TVL
ARMM|Lanao del Sur,Marawi City,406086,Aba Al-khail Computer School,HUMSS|ABM|STEM|GAS|TVL
ARMM|Lanao del Sur,Marawi City,406089,Dansalan College Foundation,ABM|STEM|HUMSS|GAS|TVL
ARMM|Lanao del Sur,Marawi City,406091,IBN Siena Integrated School Foundation,STEM|ABM|HUMSS
ARMM|Lanao del Sur,Marawi City,406093,Jamiatu Muslim Mindanao,ABM|HUMSS|GAS|TVL
ARMM|Lanao del Sur,Marawi City,406096,Mapandi Memorial College,GAS|TVL
ARMM|Lanao del Sur,Marawi City,406097,"Marawi Capitol College Foundation, Inc.",ABM|HUMSS|GAS
ARMM|Lanao del Sur,Marawi City,478003,"Marawi Foundation Academy, Inc.",ABM|STEM|HUMSS|GAS|TVL
ARMM|Lanao del Sur,Marawi City,478008,"Masiricampo Abantas Memorial Educational Center, Inc.",HUMSS|ABM|GAS|TVL
ARMM|Lanao del Sur,Marawi City,478011,"Lanao Islamic Paramedical College Foundation, Inc",ABM|HUMSS|GAS|TVL
ARMM|Lanao del Sur,Marawi City,478015,SMD Foundation Academy,ABM|HUMSS|GAS|TVL
ARMM|Lanao del Sur,Marawi City,478017,RC-AKICFI Science Laboratory School,STEM|HUMSS|GAS|ABM
ARMM|Lanao del Sur,Marawi City,478018,Jamiatu Marawi Al-Islamia Foundation,ABM|HUMSS|GAS
ARMM|Lanao del Sur,Marawi City,478019,Fountain Harvest Islamic Academy,ABM|GAS|HUMSS|TVL
ARMM|Lanao del Sur,Marawi City,478020,"Philippine Engineering and Agro-Industrial College, Inc.",HUMSS|STEM|TVL
ARMM|Lanao del Sur,Marawi City,478021,"Datu Blo Umpar Adiong (BUAD) Agricultural School Foundation, Inc.",ABM|HUMSS|GAS|TVL
ARMM|Lanao del Sur,Marawi City,600121,Mindanao State University-LNCAT,HUMSS|TVL
ARMM|Lanao del Sur,Marawi City,600122,Mindanao State University-Marawi,STEM|HUMSS|ABM|TVL
ARMM|Lanao del Sur,Tamparan,475505,"As-salihein Integrated School Foundation, Inc.",HUMSS|ABM|STEM|GAS|TVL
ARMM|Lanao del Sur,Wao,405861,"Adiong Memorial College Foundation, Inc.",GAS|TVL
ARMM|Lanao del Sur,Wao,406061,La Purisima High School,GAS|TVL
ARMM|Maguindanao,Ampatuan,405841,"VMC Asian College Foundation, Inc.-Kauran Branch",TVL
ARMM|Maguindanao,Buluan,476505,"Maguindanao Institute of Technology and Learning Center, Inc.",HUMSS|TVL
ARMM|Maguindanao,Buluan,476519,"Buluan Technical Educational School of Life, Inc.",TVL
ARMM|Maguindanao,Buluan,476520,"Eastern Kutawato Islamic Institute, Inc.",HUMSS|GAS|TVL
ARMM|Maguindanao,Datu Odin Sinsuat,400844,Bai Malgen Mama College Inc.,TVL
ARMM|Maguindanao,Datu Odin Sinsuat,476503,Sharif Awliya Academy,GAS|HUMSS
ARMM|Maguindanao,Datu Odin Sinsuat,600194,Mindanao State University-Maguindanao,ABM|STEM|HUMSS|TVL
ARMM|Maguindanao,Datu Paglas,406673,Datu Ibrahim Paglas Memorial College,ABM|HUMSS|GAS|TVL
ARMM|Maguindanao,Datu Piang,406070,"Gani L. Abpi College, Inc.",GAS|TVL
ARMM|Maguindanao,Datu Piang,406071,Notre Dame of Dulawan,GAS|TVL
ARMM|Maguindanao,Datu Piang,407450,"Lamalan Balis Flash Image Learning Center, Inc.",TVL
ARMM|Maguindanao,Datu Piang,476525,Southern Philippines Academy (SPA) College,STEM|TVL
ARMM|Maguindanao,Parang,406072,"Notre Dame of Parang, Inc.",STEM|ABM|HUMSS|GAS|TVL
ARMM|Maguindanao,Parang,406073,"Notre Dame of Sarmiento, Inc",HUMSS|ABM|GAS|TVL
ARMM|Maguindanao,Parang,476508,"The Easter Joy School, Inc.",ABM|GAS
ARMM|Maguindanao,Sultan Kudarat (Nuling),476504,Sultan Kudarat Islamic Academy Foundation College,HUMSS|ABM|STEM|TVL
ARMM|Maguindanao,Upi,406074,"Notre Dame of Upi, Inc.",HUMSS|GAS
ARMM|Maguindanao,Upi,406075,St. Francis High School,ABM|GAS
ARMM|Sulu,Jolo (Capital),400857,Notre Dame of Jolo College,HUMSS|ABM|GAS|STEM|TVL
ARMM|Sulu,Jolo (Capital),477001,Southwestern Mindanao Islamic Institute,STEM|HUMSS|GAS
ARMM|Sulu,Jolo (Capital),477006,"Sulu College of Technology, Inc.",ABM|HUMSS|GAS|STEM|TVL
ARMM|Sulu,Jolo (Capital),600183,Sulu State College,ABM|STEM
ARMM|Sulu,Jolo (Capital),600195,Mindanao State University,STEM|HUMSS|GAS
ARMM|Sulu,Siasi,406079,Notre Dame of Siasi,GAS|TVL
ARMM|Sulu,Siasi,477002,Central Sulu College,HUMSS|ABM|GAS
ARMM|Tawi-Tawi,Bongao,405845,"Tawi-Tawi School of Midwifery, Inc.",TVL
ARMM|Tawi-Tawi,Bongao,406080,Notre Dame of Bongao,ABM|GAS|STEM
ARMM|Tawi-Tawi,Bongao,477503,"Mahardika Institute of Technology, Inc.",HUMSS|ABM|GAS|STEM|TVL
ARMM|Tawi-Tawi,Bongao,600124,Tawi-Tawi Regional Agricultural College-Main,STEM|TVL
ARMM|Tawi-Tawi,Bongao,600196,Mindanao State University-Tawi-Tawi,STEM|HUMSS
ARMM|Tawi-Tawi,Mapun,600329,Mindanao State University - Mapun Extension,STEM|HUMSS
ARMM|Tawi-Tawi,Sibutu,600327,Mindanao State University - Sibutu Extension,STEM
ARMM|Tawi-Tawi,Tandubas,600328,Mindanao State University - Ungus Matata Extension,HUMSS
CAR|Abra,Bangued (Capital),400860,Data Center College of the Philippines,ABM|HUMSS|TVL
CAR|Abra,Bangued (Capital),406102,Abra Valley Colleges,ABM|STEM|HUMSS|GAS|TVL
CAR|Abra,Bangued (Capital),406107,Holy Spirit Academy of Bangued,GAS|HUMSS
CAR|Abra,Bangued (Capital),406109,St. Joseph Seminary,HUMSS
CAR|Abra,Bangued (Capital),478501,Divine Word College of Bangued,ABM|STEM|HUMSS|GAS|TVL
CAR|Abra,Bangued (Capital),600197,Abra State Institute of Science and Technology-Bangued Campus,STEM|ABM|HUMSS|GAS|TVL
CAR|Abra,Bucloc,406112,Abra Mountain Development Educational Center,TVL
CAR|Abra,Dolores,406113,Heart of Mary High School,HUMSS
CAR|Abra,La Paz,406115,Queen of Peace High School - Canan,STEM
CAR|Abra,La Paz,406116,Queen of Peace High School - La Paz,HUMSS|GAS
CAR|Abra,Lacub,406117,Our Lady of Guadalupe School,GAS
CAR|Abra,Lagangilang,406118,"Holy Cross School of Lagangilang, Inc.",HUMSS
CAR|Abra,Lagangilang,600113,Abra State Institute of Sciences and Technology,STEM|ABM|HUMSS|GAS|Sports|TVL
CAR|Abra,Manabo,406122,Our Lady of Lourdes High School,STEM
CAR|Abra,Peñarrubia,406124,Little Flower High School,HUMSS
CAR|Abra,Pidigan,406125,St. Mary's High School,STEM
CAR|Abra,Pilar,406126,Catholic High School of Pilar,HUMSS|GAS
CAR|Abra,Sallapadan,406127,Fr. Arnoldus High School,HUMSS
CAR|Abra,San Juan,406128,St. John High School,HUMSS
CAR|Abra,Tayum,406129,Holy Ghost School,ABM|HUMSS
CAR|Abra,Villaviciosa,406132,St. Paul High School,STEM|ABM
CAR|Apayao,Conner,600114,Apayao State College,STEM|ABM|HUMSS|GAS|Arts and Design|Sports|TVL
CAR|Apayao,Flora,406134,"Saint Joseph High School of Flora, Inc.",GAS
CAR|Apayao,Kabugao (Capital),406136,Our Lady of Lourdes High School of Kabugao,GAS
CAR|Apayao,Pudtol,406137,"Santo Rosario School of Pudtol, Inc.",GAS
CAR|Benguet,Atok,406138,"Saint Paul's Academy of Sayangan, Inc.",STEM|HUMSS|GAS|Arts and Design
CAR|Benguet,Baguio City,400861,AMA Computer College-Baguio City,STEM|ABM|HUMSS|GAS|TVL
CAR|Benguet,Baguio City,400867,Baguio College of Technology,STEM|TVL
CAR|Benguet,Baguio City,400869,"BSBT College, Inc.",ABM|TVL
CAR|Benguet,Baguio City,400873,"Casiciaco Recoletos Seminary, Inc.",GAS
CAR|Benguet,Baguio City,400883,"Data Center College of the Philippines of Baguio City, Inc",STEM|ABM|GAS|HUMSS|TVL
CAR|Benguet,Baguio City,400889,"Informatics Baguio City Center, Inc.",TVL
CAR|Benguet,Baguio City,400903,"Philippine Women's University - CDCEC, Baguio City, Inc.",ABM|HUMSS|GAS|TVL
CAR|Benguet,Baguio City,400906,STI College - Baguio,GAS|ABM|STEM|TVL
CAR|Benguet,Baguio City,406209,Baguio Achievers' Academy Inc.,GAS
CAR|Benguet,Baguio City,406212,Baguio Central University,STEM|ABM|HUMSS|TVL
CAR|Benguet,Baguio City,406214,Baguio City Academy College,GAS|TVL
CAR|Benguet,Baguio City,406216,Baguio City Science Foundation,STEM|GAS|TVL
CAR|Benguet,Baguio City,406217,University of the Cordilleras,STEM|ABM|HUMSS|GAS|Sports|TVL
CAR|Benguet,Baguio City,406219,Baguio Patriotic High School,ABM|HUMSS|GAS
CAR|Benguet,Baguio City,406221,Baguio Seventh-day Adventist School Academy,STEM|HUMSS|GAS|TVL
CAR|Benguet,Baguio City,406222,"Baguio Siloam Christian Academy, Inc.",ABM|HUMSS|GAS
CAR|Benguet,Baguio City,406228,Disciples for Christ International School,ABM|STEM|HUMSS|GAS
CAR|Benguet,Baguio City,406230,Easter College,ABM|STEM|HUMSS|Sports|TVL
CAR|Benguet,Baguio City,406255,Our Lady of Mt. Carmel Montessori,GAS|STEM|ABM|HUMSS
CAR|Benguet,Baguio City,406266,Small World Christian School Foundation,STEM|HUMSS|ABM|Sports
CAR|Benguet,Baguio City,406278,University of Baguio High School,STEM|ABM|HUMSS|GAS|Arts and Design|Sports|TVL
CAR|Benguet,Baguio City,406285,Yesu Maeul Christian Academy,GAS
CAR|Benguet,Baguio City,407044,"Saint Francis Xavier Seminary, Inc.",GAS
CAR|Benguet,Baguio City,407316,"NorthPhil Polytechnic Institute, Inc.",TVL
CAR|Benguet,Baguio City,407460,University of Baguio Science High School,STEM|ABM|HUMSS|Arts and Design|Sports
CAR|Benguet,Baguio City,481503,Pines City Colleges,STEM|GAS|TVL
CAR|Benguet,Baguio City,481504,Berkeley School,STEM|HUMSS|ABM
CAR|Benguet,Baguio City,481509,Academia de Sophia International,GAS
CAR|Benguet,Baguio City,481514,Educare Learning Center,ABM|GAS|TVL
CAR|Benguet,Baguio City,481517,"Remnant International College, Inc.",ABM|HUMSS|TVL
CAR|Benguet,Baguio City,481521,Shalom International School,GAS
CAR|Benguet,Baguio City,481523,Christian Legacy Academy,ABM
CAR|Benguet,Baguio City,481527,Baguio International Academy,GAS
CAR|Benguet,Baguio City,481531,"Union School International-Baguio City, Inc.",STEM|HUMSS|GAS
CAR|Benguet,Baguio City,481536,"Saint Louis School, Inc.(Center) High School Department",STEM|HUMSS|ABM
CAR|Benguet,Baguio City,481538,Westmont School Montessori,GAS
CAR|Benguet,Baguio City,481542,"Fame Golf Mission School, Inc.",STEM
CAR|Benguet,Baguio City,481545,St. Joseph De Mary Learning Center,GAS
CAR|Benguet,Baguio City,481564,"Baguio Vision Christian Academy Foundation, Inc.",STEM|HUMSS|TVL
CAR|Benguet,Baguio City,481566,Saint Louis University,STEM|ABM|HUMSS|GAS
CAR|Benguet,Itogon,406144,"Sacred Heart High School of Itogon, Inc.",HUMSS
CAR|Benguet,Itogon,481510,Philippine BELL International School,GAS
CAR|Benguet,La Trinidad (Capital),400912,BVS College,TVL
CAR|Benguet,La Trinidad (Capital),400925,Philippine Nazarene College,HUMSS|GAS|TVL
